ID,Strain,GenePair
515,A/North Carolina/06/2015,PB1-PB2
516,A/North Carolina/27/2017,HA-M
517,A/North Carolina/27/2017,HA-NP
518,A/North Carolina/27/2017,HA-NS
519,A/North Carolina/27/2017,HA-PA
520,A/North Carolina/27/2017,HA-PB1
521,A/North Carolina/27/2017,HA-PB2
522,A/North Carolina/27/2017,M-NA
523,A/North Carolina/27/2017,M-PA
524,A/North Carolina/27/2017,M-PB2
525,A/North Carolina/27/2017,NA-NS
526,A/North Carolina/27/2017,NA-PA
527,A/North Carolina/27/2017,NA-PB1
528,A/North Carolina/27/2017,NA-PB2
529,A/Oregon/14/2017,HA-NP
530,A/Oregon/14/2017,HA-NS
531,A/Oregon/14/2017,HA-PA
532,A/Oregon/14/2017,HA-PB1
533,A/Oregon/14/2017,HA-PB2
534,A/Oregon/14/2017,NA-NS
535,A/Oregon/14/2017,NA-PA
536,A/Oregon/14/2017,NA-PB1
537,A/Oregon/14/2017,NA-PB2
538,A/Pennsylvania/49/2014,HA-M
539,A/Pennsylvania/49/2014,HA-NA
540,A/Pennsylvania/49/2014,HA-NP
541,A/Pennsylvania/49/2014,HA-NS
542,A/Pennsylvania/49/2014,HA-PA
543,A/Pennsylvania/49/2014,HA-PB1
544,A/Pennsylvania/49/2014,HA-PB2
545,A/Pennsylvania/49/2014,M-PB2
546,A/Pennsylvania/49/2014,NA-PB2
547,A/Pennsylvania/49/2014,NP-PB2
548,A/Pennsylvania/49/2014,NS-PB2
549,A/Pennsylvania/49/2014,PA-PB2
550,A/Pennsylvania/49/2014,PB1-PB2
551,A/Qinghai/178/2010,M-PA
552,A/Qinghai/178/2010,NP-PA
553,A/Qinghai/178/2010,PA-PB2
554,A/Scotland/78/2003,HA-M
555,A/Scotland/78/2003,HA-PB1
556,A/Scotland/78/2003,M-PA
557,A/Scotland/78/2003,NA-NP
558,A/Scotland/78/2003,NP-PA
559,A/Scotland/78/2003,NP-PB2
560,A/Scotland/78/2003,PA-PB1
561,A/Scotland/79/2003,HA-NA
562,A/Scotland/79/2003,HA-NS
563,A/Scotland/79/2003,HA-PA
564,A/Scotland/79/2003,HA-PB2
565,A/Scotland/79/2003,M-NA
566,A/Scotland/79/2003,M-PA
567,A/Scotland/79/2003,NA-NP
568,A/Scotland/79/2003,NA-NS
569,A/Scotland/79/2003,NA-PB1
570,A/Scotland/79/2003,NA-PB2
571,A/Scotland/79/2003,NP-PA
572,A/Scotland/79/2003,PA-PB1
573,A/Scotland/79/2003,PA-PB2
574,A/Seoul/1595/2015,HA-NP
575,A/Seoul/1595/2015,HA-PA
576,A/Seoul/1595/2015,HA-PB1
577,A/Seoul/1595/2015,HA-PB2
578,A/Seoul/1595/2015,NA-NP
579,A/Seoul/1595/2015,NA-NS
580,A/Seoul/1595/2015,NA-PA
581,A/Seoul/1595/2015,NA-PB1
582,A/Seoul/1595/2015,NA-PB2
583,A/Seoul/1595/2015,NP-PA
584,A/Seoul/1595/2015,NP-PB1
585,A/Seoul/1595/2015,NP-PB2
586,A/Seoul/1595/2015,PA-PB1
587,A/Seoul/1595/2015,PA-PB2
588,A/Shanghai/10/2017,HA-NA
589,A/Shanghai/10/2017,HA-NS
590,A/Shanghai/10/2017,HA-PA
591,A/Shanghai/10/2017,HA-PB1
592,A/Shanghai/10/2017,M-NS
593,A/Shanghai/10/2017,NA-NS
594,A/Shanghai/10/2017,NA-PB2
595,A/Shanghai/10/2017,NP-NS
596,A/Shanghai/10/2017,NS-PA
597,A/Shanghai/10/2017,NS-PB1
598,A/Shanghai/10/2017,NS-PB2
599,A/Shanghai/10/2017,PB1-PB2
600,A/Shanghai/11/2017,NA-NS
601,A/Shanghai/11/2017,NP-NS
602,A/Shanghai/11/2017,NS-PA
603,A/Shanghai/11/2017,NS-PB1
604,A/Shanghai/11/2017,NS-PB2
605,A/Shanghai/12/2017,HA-PB2
606,A/Shanghai/12/2017,NA-NS
607,A/Shanghai/12/2017,NA-PB2
608,A/Shanghai/12/2017,NP-NS
609,A/Shanghai/12/2017,NS-PA
610,A/Shanghai/12/2017,NS-PB1
611,A/Shanghai/12/2017,NS-PB2
612,A/Shanghai/15/2017,HA-NS
613,A/Shanghai/15/2017,M-PB1
